Region,ABM-11-M,ABM-11-F,HUMSS-11-M,HUMSS-11-F,STEM-11-M,STEM-11-F,GAS-11-M,GAS-11-F,MARITIME-11-M,MARITIME-11-F,TVL-11-M,TVL-11-F,Sports-11-M,Sports-11-F,Arts&Design-11-M,Arts&Design-11-F,ABM-12-M,ABM-12-F,HUMSS-12-M,HUMSS-12-F,STEM-12-M,STEM-12-F,GAS-12-M,GAS-12-F,MARITIME-12-M,MARITIME-12-F,TVL-12-M,TVL-12-F,Sports-12-M,Sports-12-F,Arts&Design-12-M,Arts&Design-12-F,Sector,A.Y,Academic Track 11 M,Academic Track 11 F,Grand Total 11 M,Grand Total 11 F,Academic Track 12 M,Academic Track 12 F,Grand Total 12 M,Grand Total 12 F
Region V - Bicol Region,1016,2913,1141,1655,2254,2052,2703,3317,294,12,4092,3077,37,22,30,37,976,2859,710,1238,1981,1658,2383,2760,218,7,3923,3550,16,12,37,42,Private,2018-2019,7408,9949,11567,13085,6268,8522,10244,12126
Region VI - Western Visayas,1421,4535,2061,3482,4285,5094,2055,1891,2637,49,4105,3809,4,2,157,126,1341,4521,1374,2550,3916,4502,1995,1945,2302,45,3567,3649,9,5,108,137,Private,2018-2019,12459,15051,16725,18988,10928,13563,14612,17354
Region VII - Central Visayas,2209,6312,2773,5696,7697,6916,4247,3774,1441,71,7313,5756,0,0,138,200,1696,5574,1465,3795,6584,5750,3976,4467,730,41,6365,6103,1,1,80,133,Private,2018-2019,18367,22769,25818,28725,14451,19627,20897,25864
Region VIII - Eastern Visayas,649,1523,1211,1848,1474,1445,960,1080,0,0,2122,1730,0,0,0,0,545,1358,726,1312,1353,1305,893,1099,0,0,1986,1744,0,0,0,0,Private,2018-2019,4294,5896,6416,7626,3517,5074,5503,6818
Region IX - Zamboanga Peninsula,511,1380,1683,2326,1497,1952,1307,1511,12,0,2629,2128,0,0,0,2,526,1322,887,1491,1478,1785,1276,1540,0,0,2803,2557,0,0,4,4,Private,2018-2019,5010,7169,7639,9299,4167,6138,6974,8699
Region X - Northern Mindanao,1383,3343,2043,2991,2803,2823,2291,2334,563,18,3580,2833,1,0,22,30,1148,3026,1248,2222,2217,2081,1939,2346,466,18,3144,2906,6,8,17,24,Private,2018-2019,9083,11509,12686,14372,7018,9693,10185,12631
Region XI - Davao Region,1648,3664,2810,4301,3170,3656,1812,1954,202,22,6027,4423,0,0,30,39,1519,3500,2033,3535,2824,3284,1918,1963,116,9,5566,4351,0,0,18,36,Private,2018-2019,9642,13597,15699,18059,8410,12291,13994,16678
Region XII - Soccsksargen,866,2232,3331,4340,2105,2454,1058,1170,28,1,4095,2231,29,14,6,3,980,2507,2050,3083,2149,2259,1269,1440,0,0,3249,2019,10,4,2,5,Private,2018-2019,7388,10197,11518,12445,6448,9289,9709,11317
CARAGA - CARAGA,560,1384,1238,1724,841,959,975,902,145,3,1951,1530,0,0,8,10,523,1268,878,1271,656,793,975,1172,29,0,1833,1609,0,0,11,9,Private,2018-2019,3759,4972,5718,6512,3061,4504,4905,6122
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,293,423,1093,1257,608,1007,1159,1703,0,0,747,755,0,0,0,0,236,321,658,827,406,614,881,1432,0,0,586,734,0,0,0,0,Private,2018-2019,3153,4390,3900,5145,2181,3194,2767,3928
